id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
1001,Chanel N°5 Eau de Parfum,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_N5_EDP.png,"The most iconic and timeless fragrance, a floral aldehyde masterpiece.",Floral,"Aldehydes, Neroli, Ylang-Ylang, Bergamot, Lemon","Iris, Rose, Jasmine, Lily-of-the-Valley","Sandalwood, Vanilla, Amber, Patchouli, Vetiver",https://www.chanel.com/us/fragrance/p/125530/n5-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-de-Parfum-10.html
1002,Chanel N°5 Eau de Toilette,Chanel,Iconic Lines,$125.00,/images/perfumes/Chanel_N5_EDT.png,"A lighter, more vibrant interpretation of the original N°5, retaining its signature elegance.",Floral,"Neroli, Bergamot, Lemon, Aldehydes","Rose, Jasmine, Ylang-Ylang, Lily-of-the-Valley","Vetiver, Sandalwood, Cedar, Vanilla, Musk",https://www.chanel.com/us/fragrance/p/125450/n5-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-de-Toilette-11.html
1003,Chanel N°5 L'Eau,Chanel,Iconic Lines,$125.00,/images/perfumes/Chanel_N5_LEau.png,"A modern, fresh, and luminous version of N°5, with a youthful and effortless appeal.",Fresh,"Lemon, Mandarin Orange, Orange, Neroli, Aldehydes","Rose, Jasmine, Ylang-Ylang","Cedar, White Musk, Vetiver",https://www.chanel.com/us/fragrance/p/125570/n5-l-eau-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-L-Eau-40625.html
1004,Chanel N°5 Parfum,Chanel,Iconic Lines,$380.00,/images/perfumes/Chanel_N5_Parfum.png,"The purest and most concentrated expression of N°5, for the ultimate luxurious experience.",Floral,"Aldehydes, Neroli, Ylang-Ylang, Bergamot, Lemon","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Vetiver, Musk, Vanilla",https://www.chanel.com/us/fragrance/p/125430/n5-parfum/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-2.html
1005,Chanel N°5 Eau Première,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_N5_Eau_Premiere.png,"A soft, luminous, and airy reinterpretation of N°5, lighter and more contemporary.",Floral,"Aldehydes, Neroli, Ylang-Ylang","Jasmine, Rose","Vanilla, Sandalwood",https://www.chanel.com/us/fragrance/p/105370/n5-eau-premiere-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-Eau-Premiere-1393.html
1006,Coco Mademoiselle Eau de Parfum,Chanel,Iconic Lines,$146.00,/images/perfumes/Chanel_Coco_Mademoiselle_EDP.png,"A sparkling, bold floral-woody fragrance that recalls a daring young Coco Chanel.",Oriental,"Orange, Mandarin Orange, Bergamot, Orange Blossom","Turkish Rose, Jasmine, Mimosa, Ylang-Ylang","Patchouli, White Musk, Vanilla, Vetiver, Tonka Bean",https://www.chanel.com/us/fragrance/p/116520/coco-mademoiselle-eau-de-parfum-spray/,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-611.html
1007,Coco Mademoiselle Eau de Toilette,Chanel,Iconic Lines,$120.00,/images/perfumes/Chanel_Coco_Mademoiselle_EDT.png,"A lighter, more airy version of Coco Mademoiselle, with vibrant citrus and delicate florals.",Oriental,"Orange, Bergamot, Grapefruit","Litchi, Rose, Jasmine","Patchouli, Vanilla, Musk",https://www.chanel.com/us/fragrance/p/116460/coco-mademoiselle-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-Eau-de-Toilette-610.html
1008,Coco Mademoiselle L'Eau Privée,Chanel,Iconic Lines,$115.00,/images/perfumes/Chanel_Coco_Mademoiselle_LEau_Privee.png,"A delicate and intimate version of Coco Mademoiselle, designed for evening or before bed.",Oriental,Mandarin Orange,"Rose, Jasmine",White Musk,https://www.chanel.com/us/fragrance/p/116820/coco-mademoiselle-l-eau-privee-eau-pour-la-nuit/,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-L-Eau-Privee-60601.html
1009,Coco Mademoiselle Parfum Intense,Chanel,Iconic Lines,$175.00,/images/perfumes/Chanel_Coco_Mademoiselle_Parfum_Intense.png,"An intensified version of Coco Mademoiselle, with an overdose of patchouli and amber.",Oriental,"Sicilian Orange, Calabrian Bergamot, Lemon","Rose, Jasmine, Fruity Notes","Patchouli, Tonka Bean, Madagascar Vanilla, White Musk, Labdanum",https://www.chanel.com/us/fragrance/p/116650/coco-mademoiselle-eau-de-parfum-intense-spray/,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-Intense-48564.html
1010,Chance Eau de Toilette,Chanel,Iconic Lines,$125.00,/images/perfumes/Chanel_Chance_EDT.png,"A floral, spicy, sensual fragrance for a playful and spontaneous woman.",Floral,"Pink Pepper, Lemon, Pineapple","Hyacinth, Jasmine, Iris","Amber, Patchouli, Vetiver, Musk",https://www.chanel.com/us/fragrance/p/126450/chance-eau-de-toilette-spray/,https://www.fragrantica.com/perfume/Chanel/Chance-615.html
