id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
3001,Baccarat Rouge 540 Eau de Parfum,Maison Francis Kurkdjian,Baccarat Rouge 540,$325.00,/images/perfumes/MFK_Baccarat_Rouge_540_EDP.png,"An iconic signature scent, luminous and sophisticated, born from the encounter between Maison Francis Kurkdjian and Baccarat.",Oriental,"Jasmine, Saffron","Amberwood, Ambergris","Fir Resin, Cedar",https://www.franciskurkdjian.com/us/p/baccarat-rouge-540-eau-de-parfum-RA20010.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html
3002,Baccarat Rouge 540 Extrait de Parfum,Maison Francis Kurkdjian,Baccarat Rouge 540,$480.00,/images/perfumes/MFK_Baccarat_Rouge_540_Extrait.png,"A more concentrated and intense version of Baccarat Rouge 540, amplifying its amber and woody facets.",Oriental,"Bitter Almond, Saffron","Egyptian Jasmine, Cedar","Musk, Woody Notes, Ambergris",https://www.franciskurkdjian.com/us/p/baccarat-rouge-540-extrait-de-parfum-RA20020.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Extrait-de-Parfum-49298.html
3003,Oud Mood,Maison Francis Kurkdjian,Oud Mood Collection,$300.00,/images/perfumes/MFK_Oud_Mood.png,"A deep and captivating oriental oud fragrance, part of the Oud Mood collection.",Oriental,Laotian Oud,"Rose, Saffron","Patchouli, Benzoin",https://www.franciskurkdjian.com/us/p/oud-eau-de-parfum-RA20060.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Mood-21502.html
3004,Oud Silk Mood,Maison Francis Kurkdjian,Oud Mood Collection,$300.00,/images/perfumes/MFK_Oud_Silk_Mood.png,"A soft and airy oud fragrance, like silk caressing the skin, with rose and chamomile notes.",Oriental,"Bergamot, Chamomile","Bulgarian Rose, Hedione","Laotian Oud, Papyrus",https://www.franciskurkdjian.com/us/p/oud-silk-mood-eau-de-parfum-RA20050.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Silk-Mood-21503.html
3005,Oud Satin Mood,Maison Francis Kurkdjian,Oud Mood Collection,$300.00,/images/perfumes/MFK_Oud_Satin_Mood.png,"A rich and elegant fragrance that weaves together oud from Laos, rose absolute from Turkey, and vanilla.",Oriental,Violet,"Laotian Oud, Bulgarian Rose","Vanilla, Amber, Benzoin",https://www.franciskurkdjian.com/us/p/oud-satin-mood-eau-de-parfum-RA20030.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-31011.html
3006,Oud Cashmere Mood,Maison Francis Kurkdjian,Oud Mood Collection,$300.00,/images/perfumes/MFK_Oud_Cashmere_Mood.png,"A warm and enveloping oud fragrance, like a soft cashmere wrap, with notes of labdanum and vanilla.",Oriental,Labdanum,Benzoin,"Laotian Oud, Vanilla, Amber",https://www.franciskurkdjian.com/us/p/oud-cashmere-mood-extrait-de-parfum-RA20090.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Cashmere-Mood-31012.html
3007,Oud Velvet Mood,Maison Francis Kurkdjian,Oud Mood Collection,$300.00,/images/perfumes/MFK_Oud_Velvet_Mood.png,"A rich and luxurious oud fragrance, deep and velvety, with cinnamon and saffron.",Oriental,Cinnamon,"Saffron, Elemi","Laotian Oud, Amberwood",https://www.franciskurkdjian.com/us/p/oud-velvet-mood-extrait-de-parfum-RA20100.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Velvet-Mood-31013.html
3008,Aqua Universalis Cologne Forte,Maison Francis Kurkdjian,Aqua,$205.00,/images/perfumes/MFK_Aqua_Universalis_Cologne_Forte.png,"A radiant fresh scent, a joyful explosion of white musk and bergamot.",Fresh,"Bergamot, Blackcurrant",Sweet Pea,White Musk,https://www.franciskurkdjian.com/us/p/aqua-universalis-cologne-forte-eau-de-parfum-RA10130.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Universalis-Cologne-Forte-66883.html
3009,Aqua Universalis Forte,Maison Francis Kurkdjian,Aqua,$280.00,/images/perfumes/MFK_Aqua_Universalis_Forte.png,"A more intense and lasting version of Aqua Universalis, amplifying its clean and fresh character.",Fresh,"Bergamot, Lemon","White Flowers, Jasmine, Rose","Musk, Woody Notes",https://www.franciskurkdjian.com/us/p/aqua-universalis-forte-eau-de-parfum-RA10020.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Universalis-Forte-9095.html
3010,Aqua Vitae Cologne Forte,Maison Francis Kurkdjian,Aqua,$205.00,/images/perfumes/MFK_Aqua_Vitae_Cologne_Forte.png,"A sunny and vibrant fresh scent, a whirlwind of fresh citrus and floral notes.",Fresh,"Mandarin Orange, Bergamot","Sunny Notes, Hedione",Musk,https://www.franciskurkdjian.com/us/p/aqua-vitae-cologne-forte-eau-de-parfum-RA10140.html,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Vitae-Cologne-Forte-66882.html
