id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
4001,Sécrétions Magnifiques,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Secretions_Magnifiques.png,"Infamous for its unique, challenging scent profile, evoking bodily fluids and metallic accords. A provocative and divisive fragrance.",Fresh,"Aldehydes, Marine Notes","Blood Accord, Adrenaline Accord, Milk","Sandalwood, Iris, Opoponax",https://us.etatlibredorange.com/collections/shop-all/products/secretions-magnifiques,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Secretions-Magnifiques-354.html
4002,I Am Trash – Les Fleurs du Déchet,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_I_Am_Trash.png,"The most wanted fragrance from the end of the world. A perfume created from the unwanted, the discarded, the trash, using upcycled ingredients.",Fruity,"Apple Essence, Bitter Orange, Strawberry","Rose Absolute, Jasmine, Green Apple","Cedarwood Atlas, Sandalwood, Akigalawood",https://us.etatlibredorange.com/collections/shop-all/products/i-am-trash,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/I-Am-Trash-Les-Fleurs-du-Dechet-51229.html
4003,Fat Electrician,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Fat_Electrician.png,"A beautiful and unexpected vetiver fragrance with notes of chestnut cream and olive leaves, evoking a sense of grounded comfort.",Woody,"Black Pepper, Elemi","Vetiver, Olive Leaf, Chestnut Cream","Opoponax, Myrrh, Vanilla, Cedarwood",https://us.etatlibredorange.com/collections/shop-all/products/fat-electrician,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Fat-Electrician-6284.html
4004,You Or Someone Like You,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_You_Or_Someone_Like_You.png,"A fresh, green, and inviting fragrance inspired by the city of Los Angeles and a fictional character.",Fresh,"Mint, Grapefruit, Anise","Rose, Green Notes, Cassia","White Musk, Ambrette (Musk Mallow)",https://us.etatlibredorange.com/collections/shop-all/products/you-or-someone-like-you,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/You-Or-Someone-Like-You-44026.html
4005,Jasmin et Cigarette,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Jasmin_et_Cigarette.png,A sensual and addictive fragrance that combines the femininity of jasmine with the smoky aroma of a cigarette.,Floral,"Jasmine, Tobacco","Hay, Apricot","Musk, Cedar, Amber",https://us.etatlibredorange.com/collections/shop-all/products/jasmin-et-cigarette,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Jasmin-et-Cigarette-1393.html
4006,Remarkable People,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Remarkable_People.png,"A fragrance for the exceptional, the unconventional. A celebration of those who break the mold, with champagne and spicy notes.",Spicy,"Grapefruit, Champagne Accord, Cardamom","Curry Tree, Jasmine, Labdanum","Sandalwood, Tolu Balsam",https://us.etatlibredorange.com/collections/shop-all/products/remarkable-people,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Remarkable-People-32243.html
4007,Hermann A Mes Côtés Me Paraissait Une Ombre,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Hermann_A_Mes_Cotes.png,"A dark, woody, and earthy fragrance, evoking a walk in a damp forest with a mysterious shadow.",Woody,"Geosmin, Black Pepper","Rose, Incense","Patchouli, Ambroxan, Vetiver",https://us.etatlibredorange.com/collections/shop-all/products/hermann-a-mes-cotes-me-paraissait-une-ombre,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Hermann-A-Mes-C-t-s-Me-Paraissait-Une-Ombre-40626.html
4008,Divin'Enfant,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Divin_Enfant.png,A paradoxical fragrance combining the innocence of orange blossom and marshmallow with the rebellion of tobacco and leather.,Oriental,"Marshmallow, Tobacco, Orange Blossom","Leather, Coffee, Rose","Amber, Musk, Patchouli",https://us.etatlibredorange.com/collections/shop-all/products/divin-enfant,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Divin-Enfant-1394.html
4009,Like This (Tilda Swinton),Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Like_This.png,"A unique and comforting fragrance, inspired by Tilda Swinton's home, with ginger, pumpkin, and immortelle.",Spicy,"Ginger, Pumpkin, Tangerine","Immortelle, Neroli, Rose","Vetiver, Musk, Heliotrope",https://us.etatlibredorange.com/collections/shop-all/products/like-this,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Like-This-Tilda-Swinton-4522.html
4010,Putain des Palaces,Etat Libre d'Orange,The Orange Extraordinaire,$159.00,/images/perfumes/ELO_Putain_des_Palaces.png,"A seductive and sensual fragrance, evoking the scent of a courtesan's boudoir with rose, leather, and powder.",Floral,"Rose, Violet","Leather, Powdery Notes","Amber, Musk, Ginger",https://us.etatlibredorange.com/collections/shop-all/products/putain-des-palaces,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Putain-des-Palaces-1395.html
