id,name,brand,collection,price,imageUrl,description,category,notes_top,notes_middle,notes_base,officialUrl,fragranticaUrl
2001,Terre d'Hermès Eau de Toilette,Hermès,Signature Lines,$132.00,/images/perfumes/Hermes_Terre_d_Hermes_EDT.png,"A fragrance that connects man to his origins, to the sources of his creative power. A woody, vegetal, and mineral scent.",Woody,"Orange, Grapefruit","Pepper, Pelargonium","Patchouli, Cedar, Vetiver, Benzoin",https://www.hermes.com/us/en/product/terre-d-hermes-eau-de-toilette-V35623/,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html
2002,Terre d'Hermès Parfum,Hermès,Signature Lines,$160.00,/images/perfumes/Hermes_Terre_d_Hermes_Parfum.png,"A denser and more concentrated version of Terre d'Hermès, intensifying its mineral and woody notes.",Woody,"Orange, Grapefruit",Benzoin,"Woody Notes, Oakmoss",https://www.hermes.com/us/en/product/terre-d-hermes-parfum-V35633/,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Parfum-5586.html
2003,Terre d'Hermès Eau Intense Vétiver,Hermès,Signature Lines,$145.00,/images/perfumes/Hermes_Terre_d_Hermes_Eau_Intense_Vetiver.png,"A new expression of Terre d'Hermès, highlighting the power of vetiver, fresh and earthy.",Woody,"Bergamot, Grapefruit, Lemon","Sichuan Pepper, Geranium","Vetiver, Amberwood, Olibanum",https://www.hermes.com/us/en/product/terre-d-hermes-eau-intense-vetiver-eau-de-parfum-V55013/,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Eau-Intense-Vetiver-50122.html
2004,Terre d'Hermès Eau Givrée,Hermès,Signature Lines,$145.00,/images/perfumes/Hermes_Terre_d_Hermes_Eau_Givree.png,The heat of ice. A fresh and intense fragrance that captures the sensation of icy breath.,Fresh,"Citron, Juniper Berries",Timut Pepper,"Mineral Notes, Woody Notes",https://www.hermes.com/us/en/product/terre-d-hermes-eau-givree-eau-de-parfum-V88011/,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Eau-Givree-75865.html
2005,Eau des Merveilles Eau de Toilette,Hermès,Signature Lines,$145.00,/images/perfumes/Hermes_Eau_des_Merveilles_EDT.png,"A surprising and magical woody-amber fragrance for women, without a single floral note.",Woody,"Orange, Elemi resin, Lemon","Amber, Pepper, Pink Pepper, Violet","Fir, Cedar, Vetiver, Oakmoss",https://www.hermes.com/us/en/product/eau-des-merveilles-eau-de-toilette-V34169/,https://www.fragrantica.com/perfume/Hermes/Eau-des-Merveilles-16.html
2006,Elixir des Merveilles,Hermès,Signature Lines,$165.00,/images/perfumes/Hermes_Elixir_des_Merveilles.png,"A deeper, more gourmand interpretation of Eau des Merveilles, with candied orange and rich resins.",Oriental,"Orange Peel, Resins","Caramel, Benzoin, Amber","Sandalwood, Oakmoss, Patchouli, Tonka Bean, Incense, Cedar",https://www.hermes.com/us/en/product/elixir-des-merveilles-eau-de-parfum-V34177/,https://www.fragrantica.com/perfume/Hermes/Elixir-des-Merveilles-630.html
2007,Eau des Merveilles Bleue,Hermès,Signature Lines,$145.00,/images/perfumes/Hermes_Eau_des_Merveilles_Bleue.png,"A marine and woody interpretation, inspired by the deep blue of the ocean.",Fresh,Marine Notes,Patchouli,Woody Notes,https://www.hermes.com/us/en/product/eau-des-merveilles-bleue-eau-de-toilette-V65013/,https://www.fragrantica.com/perfume/Hermes/Eau-des-Merveilles-Bleue-44677.html
2008,L'Ombre des Merveilles,Hermès,Signature Lines,$145.00,/images/perfumes/Hermes_L_Ombre_des_Merveilles.png,"A sensual and mysterious take, playing with light and shadow, highlighting smoky and tonka notes.",Woody,Black Tea,Incense,Tonka Bean,https://www.hermes.com/us/en/product/l-ombre-des-merveilles-eau-de-parfum-V85001/,https://www.fragrantica.com/perfume/Hermes/L-Ombre-des-Merveilles-60912.html
2009,Twilly d'Hermès Eau de Parfum,Hermès,Signature Lines,$134.00,/images/perfumes/Hermes_Twilly_d_Hermes_EDP.png,"The scent of the Hermès girls, a daring fragrance woven with striking ginger and sensual tuberose.",Spicy,"Ginger, Bergamot, Bitter Orange","Tuberose, Orange Blossom, Jasmine","Sandalwood, Vanilla",https://www.hermes.com/us/en/product/twilly-d-hermes-eau-de-parfum-V55019/,https://www.fragrantica.com/perfume/Hermes/Twilly-d-Hermes-45921.html
2010,Twilly d'Hermès Eau Poivrée,Hermès,Signature Lines,$134.00,/images/perfumes/Hermes_Twilly_d_Hermes_Eau_Poivree.png,"A spirited and impertinent scent, sparkling with vibrant pink peppercorn, tender rose, and captivating patchouli.",Spicy,Pink Pepper,Rose,Patchouli,https://www.hermes.com/us/en/product/twilly-d-hermes-eau-poivree-eau-de-parfum-V65020/,https://www.fragrantica.com/perfume/Hermes/Twilly-d-Hermes-Eau-Poivree-55694.html
2011,Twilly d'Hermès Ginger,Hermès,Signature Lines,$134.00,/images/perfumes/Hermes_Twilly_d_Hermes_Ginger.png,"A new, radiant, and joyful interpretation, bursting with the freshness of ginger.",Spicy,"Ginger, Candied Ginger",Tuberose,Cedar,https://www.hermes.com/us/en/product/twilly-d-hermes-ginger-eau-de-parfum-V88001/,https://www.fragrantica.com/perfume/Hermes/Twilly-d-Hermes-Ginger-75866.html
2012,Jour d'Hermès Eau de Parfum,Hermès,Signature Lines,$145.00,/images/perfumes/Hermes_Jour_d_Hermes_EDP.png,"A celebration of femininity, highlighting the beauty of flowers from dawn till dusk.",Floral,"Grapefruit, Lemon, Water Notes","Gardenia, Sweet Pea, Green Notes, White Flowers","Musk, Woody Notes",https://www.hermes.com/us/en/product/jour-d-hermes-eau-de-parfum-V34181/,https://www.fragrantica.com/perfume/Hermes/Jour-d-Hermes-18018.html
2013,Jour d'Hermès Absolu,Hermès,Signature Lines,$165.00,/images/perfumes/Hermes_Jour_d_Hermes_Absolu.png,"The absolute essence of femininity, a vibrant and sensual floral composition.",Floral,"Gardenia, Sambac Jasmine",Apricot Blossom,"Woody Notes, Oakmoss",https://www.hermes.com/us/en/product/jour-d-hermes-absolu-eau-de-parfum-V34183/,https://www.fragrantica.com/perfume/Hermes/Jour-d-Hermes-Absolu-23055.html
2014,Jour d'Hermès Gardénia,Hermès,Signature Lines,$145.00,/images/perfumes/Hermes_Jour_d_Hermes_Gardenia.png,"A specific focus on the enchanting gardenia, highlighting its creamy and intense facets.",Floral,Gardenia,"Tuberose, White Flowers",Musk,https://www.hermes.com/us/en/product/jour-d-hermes-gardenia-eau-de-parfum-V65001/,https://www.fragrantica.com/perfume/Hermes/Jour-d-Hermes-Gardenia-27845.html
2015,Un Jardin sur le Nil,Hermès,Les Parfums-Jardins,$112.00,/images/perfumes/Hermes_Un_Jardin_sur_le_Nil.png,"A green and woody scent, a stroll in the island-gardens of the Nile at Aswan, full of life and light.",Fresh,"Green Mango, Grapefruit, Tomato, Carrot","Lotus, Calamus, Orange, Hyacinth, Peony","Musk, Incense, Labdanum, Cinnamon",https://www.hermes.com/us/en/product/un-jardin-sur-le-nil-eau-de-toilette-V34179/,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-Sur-Le-Nil-18.html
2016,Un Jardin en Méditerranée,Hermès,Les Parfums-Jardins,$112.00,/images/perfumes/Hermes_Un_Jardin_en_Mediterranee.png,"A fragrant, woody, and refreshing Mediterranean garden, evoking sunshine and shadows.",Woody,"Bergamot, Lemon, Mandarin Orange","Orange Blossom, White Nerium Oleander","Fig Leaf, Cypress, Musk, Juniper Berries, Pistachio, Cedar",https://www.hermes.com/us/en/product/un-jardin-en-mediterranee-eau-de-toilette-V34171/,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-en-Mediterranee-15.html
2017,Un Jardin sur le Toit,Hermès,Les Parfums-Jardins,$112.00,/images/perfumes/Hermes_Un_Jardin_sur_le_Toit.png,"A living and sparkling garden in the heart of Paris, nestled on a rooftop at Hermès.",Fruity,"Apple, Pear, Rose","Green Grass, Rosemary, Magnolia",Oakmoss,https://www.hermes.com/us/en/product/un-jardin-sur-le-toit-eau-de-toilette-V34191/,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-sur-le-Toit-12152.html
2018,Le Jardin de Monsieur Li,Hermès,Les Parfums-Jardins,$112.00,/images/perfumes/Hermes_Le_Jardin_de_Monsieur_Li.png,"A tranquil and poetic Chinese garden, where jasmine, kumquat, and water accord flourish.",Fresh,Kumquat,"Jasmine, Water Notes",Mint,https://www.hermes.com/us/en/product/le-jardin-de-monsieur-li-eau-de-toilette-V65113/,https://www.fragrantica.com/perfume/Hermes/Le-Jardin-de-Monsieur-Li-29509.html
2019,Un Jardin sur la Lagune,Hermès,Les Parfums-Jardins,$112.00,/images/perfumes/Hermes_Un_Jardin_sur_la_Lagune.png,"A secret garden in Venice, gentle and comforting, with notes of magnolia and pittosporum.",Floral,Magnolia,"Pittosporum, Madonna Lily","Woody Notes, Marine Notes",https://www.hermes.com/us/en/product/un-jardin-sur-la-lagune-eau-de-toilette-V55017/,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-sur-la-Lagune-53746.html
2020,Un Jardin à Cythère,Hermès,Les Parfums-Jardins,$112.00,/images/perfumes/Hermes_Un_Jardin_a_Cythere.png,"A fragrant garden on the Greek island of Kythira, combining grasses with olive wood and fresh pistachios.",Woody,Grasses,Olive Tree,Pistachio,https://www.hermes.com/us/en/product/un-jardin-a-cythere-eau-de-toilette-V88005/,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-a-Cythere-78631.html
2021,Eau d'Orange Verte,Hermès,Les Colognes Hermès,$110.00,/images/perfumes/Hermes_Eau_d_Orange_Verte.png,"The founding cologne, a sparkling explosion of citrus notes, fresh and vibrant.",Fresh,"Orange, Lemon, Mandarin Orange","Mint, Blackcurrant Bud","Patchouli, Oakmoss",https://www.hermes.com/us/en/product/eau-d-orange-verte-eau-de-cologne-V34167/,https://www.fragrantica.com/perfume/Hermes/Eau-d-Orange-Verte-23.html
2022,Eau de Rhubarbe Écarlate,Hermès,Les Colognes Hermès,$110.00,/images/perfumes/Hermes_Eau_de_Rhubarbe_Ecarlate.png,"A vibrant and tangy cologne, bursting with the freshness of rhubarb and white musk.",Fruity,Rhubarb,Lancaster Blackcurrant,White Musk,https://www.hermes.com/us/en/product/eau-de-rhubarbe-ecarlate-eau-de-cologne-V55001/,https://www.fragrantica.com/perfume/Hermes/Eau-de-Rhubarbe-Ecarlate-37466.html
2023,Eau de Pamplemousse Rose,Hermès,Les Colognes Hermès,$110.00,/images/perfumes/Hermes_Eau_de_Pamplemousse_Rose.png,"A sparkling and tangy cologne, combining the freshness of grapefruit with the tenderness of rose.",Citrus,"Grapefruit, Orange",Rose,Vetiver,https://www.hermes.com/us/en/product/eau-de-pamplemousse-rose-eau-de-cologne-V34185/,https://www.fragrantica.com/perfume/Hermes/Eau-de-Pamplemousse-Rose-6298.html
2024,Eau de Citron Noir,Hermès,Les Colognes Hermès,$110.00,/images/perfumes/Hermes_Eau_de_Citron_Noir.png,"A surprising and intensely fresh cologne, centered around the smoky and tangy notes of black lime.",Fresh,"Black Lime, Citron","Lemon, Smoked Tea",Guaiac Wood,https://www.hermes.com/us/en/product/eau-de-citron-noir-eau-de-cologne-V65007/,https://www.fragrantica.com/perfume/Hermes/Eau-de-Citron-Noir-49520.html
